jpath,kx_rad_per_um,ky_rad_per_um,frequency_order,frequency_GHz
20,15.707963268,0.000000000,19,18.594000
20,15.707963268,0.000000000,20,18.779000
20,15.707963268,0.000000000,21,19.156000
20,15.707963268,0.000000000,22,19.493000
20,15.707963268,0.000000000,23,19.758000
20,15.707963268,0.000000000,24,20.776000
21,15.707963268,0.785398163,1,9.281600
21,15.707963268,0.785398163,2,10.200000
21,15.707963268,0.785398163,3,12.012000
21,15.707963268,0.785398163,4,12.359000
21,15.707963268,0.785398163,5,13.632000
21,15.707963268,0.785398163,6,13.692000
21,15.707963268,0.785398163,7,13.910000
21,15.707963268,0.785398163,8,13.960000
21,15.707963268,0.785398163,9,14.440000
21,15.707963268,0.785398163,10,14.652000
21,15.707963268,0.785398163,11,15.506000
21,15.707963268,0.785398163,12,15.567000
21,15.707963268,0.785398163,13,16.214000
21,15.707963268,0.785398163,14,17.210000
21,15.707963268,0.785398163,15,17.298000
21,15.707963268,0.785398163,16,17.654000
21,15.707963268,0.785398163,17,18.050000
21,15.707963268,0.785398163,18,18.372000
21,15.707963268,0.785398163,19,18.631000
21,15.707963268,0.785398163,20,18.764000
21,15.707963268,0.785398163,21,19.166000
21,15.707963268,0.785398163,22,19.498000
21,15.707963268,0.785398163,23,19.765000
21,15.707963268,0.785398163,24,20.778000
22,15.707963268,1.570796327,1,9.305300
22,15.707963268,1.570796327,2,10.213000
22,15.707963268,1.570796327,3,12.017000
22,15.707963268,1.570796327,4,12.359000
22,15.707963268,1.570796327,5,13.543000
22,15.707963268,1.570796327,6,13.586000
22,15.707963268,1.570796327,7,14.018000
22,15.707963268,1.570796327,8,14.045000
22,15.707963268,1.570796327,9,14.346000
22,15.707963268,1.570796327,10,14.751000
22,15.707963268,1.570796327,11,15.498000
22,15.707963268,1.570796327,12,15.576000
22,15.707963268,1.570796327,13,16.213000
22,15.707963268,1.570796327,14,17.195000
22,15.707963268,1.570796327,15,17.279000
22,15.707963268,1.570796327,16,17.666000
22,15.707963268,1.570796327,17,18.050000
22,15.707963268,1.570796327,18,18.299000
22,15.707963268,1.570796327,19,18.700000
22,15.707963268,1.570796327,20,18.728000
22,15.707963268,1.570796327,21,19.192000
22,15.707963268,1.570796327,22,19.511000
22,15.707963268,1.570796327,23,19.787000
22,15.707963268,1.570796327,24,20.781000
23,15.707963268,2.356194490,1,9.344100
23,15.707963268,2.356194490,2,10.235000
23,15.707963268,2.356194490,3,12.024000
23,15.707963268,2.356194490,4,12.359000
23,15.707963268,2.356194490,5,13.440000
23,15.707963268,2.356194490,6,13.480000
23,15.707963268,2.356194490,7,14.127000
23,15.707963268,2.356194490,8,14.140000
23,15.707963268,2.356194490,9,14.252000
23,15.707963268,2.356194490,10,14.852000
23,15.707963268,2.356194490,11,15.488000
23,15.707963268,2.356194490,12,15.589000
23,15.707963268,2.356194490,13,16.211000
23,15.707963268,2.356194490,14,17.172000
23,15.707963268,2.356194490,15,17.250000
23,15.707963268,2.356194490,16,17.680000
23,15.707963268,2.356194490,17,18.047000
23,15.707963268,2.356194490,18,18.223000
23,15.707963268,2.356194490,19,18.672000
23,15.707963268,2.356194490,20,18.780000
23,15.707963268,2.356194490,21,19.226000
23,15.707963268,2.356194490,22,19.533000
23,15.707963268,2.356194490,23,19.823000
23,15.707963268,2.356194490,24,20.787000
24,15.707963268,3.141592654,1,9.397400
24,15.707963268,3.141592654,2,10.266000
